"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,135,-148,-15.361296138196,-21.2672978262407
0.914,135,-146,-16.565373706552,-20.5455400434595
0.914,135,-144,-17.8819478671266,-19.9218924589486
0.914,135,-142,-19.2612741513691,-19.3831039512384
0.914,135,-140,-20.5574051329915,-18.9185844709844
0.914,135,-138,-21.4695373855518,-18.519730314468
0.914,135,-136,-21.6360029916271,-18.179444650879
0.914,135,-134,-20.9769348589185,-17.891794582625
0.914,135,-132,-19.7927464278756,-17.6517639802699
0.914,135,-130,-18.4308429961486,-17.4550742005045
0.914,135,-128,-17.0875154602841,-17.2980535743427
0.914,135,-126,-15.8376682171221,-17.1775424669053
0.914,135,-124,-14.6984072729374,-17.0908247060746
0.914,135,-122,-13.6648221988758,-17.0355789076231
0.914,135,-120,-12.7252241180384,-17.0098451224316
0.914,135,-118,-11.8669407519601,-17.0120035825628
0.914,135,-116,-11.0783023043931,-17.0407633171259
0.914,135,-114,-10.3491685491803,-17.0951591755241
0.914,135,-112,-9.67092584390742,-17.174556427056
0.914,135,-110,-9.03631410862686,-17.2786626724841
0.914,135,-108,-8.43921994597517,-17.4075473651226
0.914,135,-106,-7.87448407377167,-17.5616698550062
0.914,135,-104,-7.33773694527612,-17.7419176067412
0.914,135,-102,-6.82526354654704,-17.9496571866929
0.914,135,-100,-6.33389401409513,-18.1868018924655
0.914,135,-98,-5.86091571033755,-18.4559016960648
0.914,135,-96,-5.40400261642055,-18.7602637909813
0.914,135,-94,-4.96115850110214,-19.1041159615952
0.914,135,-92,-4.53067097095888,-19.4928310503997
0.914,135,-90,-4.11107408608902,-19.9332403927
0.914,135,-88,-3.70111770778653,-20.4340796975473
0.914,135,-86,-3.29974213378797,-21.0066369376755
0.914,135,-84,-2.90605688623247,-21.6657165419439
0.914,135,-82,-2.51932276239453,-22.4311125961731
0.914,135,-80,-2.13893645181705,-23.3299225415163
0.914,135,-78,-1.76441717649913,-24.4002714147754
0.914,135,-76,-1.39539493176652,-25.6973580116434
0.914,135,-74,-1.03160000094993,-27.3027143699669
0.914,135,-72,-0.672853492128907,-29.3329901785047
0.914,135,-70,-0.31905870399198,-31.9016970705419
0.914,135,-68,0.0298068264433833,-34.6693335794137
0.914,135,-66,0.373698706255502,-35.2123022553065
0.914,135,-64,0.712512584159741,-32.3777529375801
0.914,135,-62,1.04609062746402,-29.0934005070605
0.914,135,-60,1.37422762687885,-26.3314472856281
0.914,135,-58,1.69667676534569,-24.0511181007182
0.914,135,-56,2.01315507741288,-22.1257817917793
0.914,135,-54,2.3233486180432,-20.4611376785736
0.914,135,-52,2.62691735368769,-18.9935051488834
0.914,135,-50,2.92349978382254,-17.6795728218634
0.914,135,-48,3.21271729788125,-16.4891044973046
0.914,135,-46,3.49417827064429,-15.4004009176204
0.914,135,-44,3.76748189867523,-14.3974965327102
0.914,135,-42,4.03222178122266,-13.4683907035604
0.914,135,-40,4.28798925090808,-12.6038999570348
0.914,135,-38,4.53437646210488,-11.7968918717085
0.914,135,-36,4.77097924767408,-11.0417598912433
0.914,135,-34,4.9973997570948,-10.3340543311609
0.914,135,-32,5.21324889048241,-9.67021717344763
0.914,135,-30,5.41814854313638,-9.04738738620083
0.914,135,-28,5.61173367393746,-8.46325514288179
0.914,135,-26,5.79365420822978,-7.91595057612685
0.914,135,-24,5.96357678217248,-7.40395734363728
0.914,135,-22,6.12118633154259,-6.926044320556
0.914,135,-20,6.26618752436303,-6.4812107599266
0.914,135,-18,6.39830603424757,-6.06864163942911
0.914,135,-16,6.51728965057745,-5.68767086004234
0.914,135,-14,6.62290922285105,-5.33775062047383
0.914,135,-12,6.71495943972118,-5.01842575074833
0.914,135,-10,6.79325944792727,-4.72931210954788
0.914,135,-8,6.85765332180296,-4.47007837394009
0.914,135,-6,6.90801039936464,-4.24043070583734
0.914,135,-4,6.94422550520463,-4.04009988743889
0.914,135,-2,6.96621908271205,-3.86883059280764
0.914,135,0,6.97393725801042,-3.72637251526294
0.914,135,2,6.9673518553144,-3.61247310798729
0.914,135,4,6.94646037847225,-3.52687172337981
0.914,135,6,6.91128596694661,-3.46929495871561
0.914,135,8,6.86187732730938,-3.439453033767
0.914,135,10,6.79830863447649,-3.43703704147258
0.914,135,12,6.72067939126754,-3.46171692617956
0.914,135,14,6.62911423105548,-3.51314005578645
0.914,135,16,6.52376264651231,-3.59093026451598
0.914,135,18,6.40479862758927,-3.69468725232764
0.914,135,20,6.27242019336578,-3.82398623552744
0.914,135,22,6.12684880449074,-3.97837775148975
0.914,135,24,5.9683286447677,-4.15738752922759
0.914,135,26,5.79712576124282,-4.36051634754302
0.914,135,28,5.61352705142528,-4.5872398143264
0.914,135,30,5.41783908383676,-4.83700801478212
0.914,135,32,5.21038673416634,-5.10924499324239
0.914,135,34,4.99151161445888,-5.40334805279532
0.914,135,36,4.76157026778929,-5.71868687887483
0.914,135,38,4.52093209666819,-6.05460251657049
0.914,135,40,4.2699769908145,-6.41040625573618
0.914,135,42,4.00909261953481,-6.78537850174654
0.914,135,44,3.73867135606257,-7.17876773148194
0.914,135,46,3.4591068057548,-7.58978965213974
0.914,135,48,3.1707899165776,-8.01762669293588
0.914,135,50,2.87410465808613,-8.46142796469736
0.914,135,52,2.56942326317032,-8.92030981763659
0.914,135,54,2.25710103415319,-9.39335711100862
0.914,135,56,1.93747072037843,-9.8796252775817
0.914,135,58,1.61083647729964,-10.3781432186539
0.914,135,60,1.27746741653259,-10.8879169997457
0.914,135,62,0.937590751764882,-11.4079342317041
0.914,135,64,0.591384536364566,-11.9371689164031
