"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,90.0000000000002,16,6.59907087238651,-13.9297625199114
0.914,90.0000000000002,18,6.46003465975899,-13.3223150027791
0.914,90.0000000000002,20,6.30507785373056,-12.7943768460191
0.914,90.0000000000002,22,6.13448237384664,-12.3361927974654
0.914,90.0000000000002,24,5.94855840614249,-11.9399465115681
0.914,90.0000000000002,26,5.74764382920464,-11.5992440352888
0.914,90.0000000000002,28,5.53210379097799,-11.3087559011814
0.914,90.0000000000002,30,5.30233048003628,-11.0639628510906
0.914,90.0000000000002,32,5.05874313210709,-10.8609712176257
0.914,90.0000000000002,34,4.8017883079345,-10.6963762878522
0.914,90.0000000000002,36,4.5319404718071,-10.5671594229554
0.914,90.0000000000002,38,4.24970289096357,-10.4706093575399
0.914,90.0000000000002,40,3.95560886424893,-10.4042610834566
0.914,90.0000000000002,42,3.65022327340836,-10.3658476815319
0.914,90.0000000000002,44,3.33414443178922,-10.3532617807704
0.914,90.0000000000002,46,3.00800618244507,-10.3645242288903
0.914,90.0000000000002,48,2.67248017015717,-10.3977581934967
0.914,90.0000000000002,50,2.32827817922281,-10.4511673707618
0.914,90.0000000000002,52,1.97615439069613,-10.5230173173394
0.914,90.0000000000002,54,1.61690736914405,-10.6116191807566
0.914,90.0000000000002,56,1.25138154053367,-10.7153153105235
0.914,90.0000000000002,58,0.880467871147536,-10.8324664053341
0.914,90.0000000000002,60,0.505103405263797,-10.9614400042074
0.914,90.0000000000002,62,0.126269271242439,-11.1006002705171
0.914,90.0000000000002,64,-0.255013271884242,-11.2482991537225
0.914,90.0000000000002,66,-0.637689193609923,-11.4028691473966
0.914,90.0000000000002,68,-1.02067889199187,-11.5626179937696
0.914,90.0000000000002,70,-1.40289061712197,-11.7258258104851
0.914,90.0000000000002,72,-1.78323639577504,-11.8907452260131
0.914,90.0000000000002,74,-2.16065156924999,-12.0556051922594
0.914,90.0000000000002,76,-2.53411782699388,-12.2186191770701
0.914,90.0000000000002,78,-2.90268933152676,-12.377998401823
0.914,90.0000000000002,80,-3.2655212030601,-12.531970654668
0.914,90.0000000000002,82,-3.62189929521992,-12.6788049558903
0.914,90.0000000000002,84,-3.97126988758453,-12.8168419661782
0.914,90.0000000000002,86,-4.31326769325856,-12.9445295178672
0.914,90.0000000000002,88,-4.64774047465258,-13.0604620468112
0.914,90.0000000000002,90,-4.97476860895477,-13.1634220729597
0.914,90.0000000000002,92,-5.29467815395822,-13.2524213142599
0.914,90.0000000000002,94,-5.60804631226572,-13.3267386309515
0.914,90.0000000000002,96,-5.91569862385085,-13.3859518901456
0.914,90.0000000000002,98,-6.21869765515222,-13.4299610853976
0.914,90.0000000000002,100,-6.51832330583037,-13.459000656229
0.914,90.0000000000002,102,-6.81604503114165,-13.4736398697641
0.914,90.0000000000002,104,-7.11348619986731,-13.4747712256398
0.914,90.0000000000002,106,-7.41238041424267,-13.4635879591603
0.914,90.0000000000002,108,-7.71451886576951,-13.4415526758461
0.914,90.0000000000002,110,-8.02168665652541,-13.4103598184934
0.914,90.0000000000002,112,-8.335584452075,-13.3718949749474
0.914,90.0000000000002,114,-8.65772983092047,-13.3281939829891
0.914,90.0000000000002,116,-8.98933027699016,-13.2814044419386
0.914,90.0000000000002,118,-9.33111706745289,-13.2337517006183
0.914,90.0000000000002,120,-9.68312678066915,-13.1875107701787
0.914,90.0000000000002,122,-10.0444158777773,-13.1449850069163
0.914,90.0000000000002,124,-10.4126961223379,-13.1084918966321
0.914,90.0000000000002,126,-10.7838888959759,-13.0803558894641
0.914,90.0000000000002,128,-11.1516219720874,-13.0629079966486
0.914,90.0000000000002,130,-11.5067424819963,-13.0584917634394
0.914,90.0000000000002,132,-11.8370013146224,-13.0694752607527
0.914,90.0000000000002,134,-12.1271667291138,-13.098268875691
0.914,90.0000000000002,136,-12.3598968675508,-13.1473489164839
0.914,90.0000000000002,138,-12.5176329650506,-13.2192873789087
0.914,90.0000000000002,140,-12.585446140737,-13.3167886612246
0.914,90.0000000000002,142,-12.5542014705037,-13.4427345941568
0.914,90.0000000000002,144,-12.4229162795157,-13.6002399286263
0.914,90.0000000000002,146,-12.1992740493405,-13.7927214922936
0.914,90.0000000000002,148,-11.8980486466359,-14.0239857424232
0.914,90.0000000000002,150,-11.5381709123888,-14.2983416624127
0.914,90.0000000000002,152,-11.1396152513105,-14.6207492985826
0.914,90.0000000000002,154,-10.7210148430953,-14.9970194419557
0.914,90.0000000000002,156,-10.2983249211271,-15.4340883148062
0.914,90.0000000000002,158,-9.88439139171351,-15.9404049798342
0.914,90.0000000000002,160,-9.48910132062241,-16.5264930374704
0.914,90.0000000000002,162,-9.11981384533764,-17.2057909617631
0.914,90.0000000000002,164,-8.78186792374634,-17.9959559768305
0.914,90.0000000000002,166,-8.47905790057257,-18.920976906389
0.914,90.0000000000002,168,-8.2140325657191,-20.0147840283881
0.914,90.0000000000002,170,-7.98860929652323,-21.3278395619475
0.914,90.0000000000002,172,-7.80401122804441,-22.9402491558445
0.914,90.0000000000002,174,-7.66104071910452,-24.9910616780238
0.914,90.0000000000002,176,-7.56020235900077,-27.7556875572468
0.914,90.0000000000002,178,-7.50178657334005,-31.9131995728177
0.914,90.0000000000002,180,-7.4859220932377,-40.0841384375409
